run encryption program; original message = 
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
pt_no =  0
LFSR_ptrn = 0x60, LFSR_init = 0x01
i=          0, msg_pad=0x20, lfsr=00000001 msg_crypt w/ parity = 0x01
i=          1, msg_pad=0x20, lfsr=00000010 msg_crypt w/ parity = 0x02
i=          2, msg_pad=0x20, lfsr=00000100 msg_crypt w/ parity = 0x04
i=          3, msg_pad=0x20, lfsr=00001000 msg_crypt w/ parity = 0x08
i=          4, msg_pad=0x20, lfsr=00010000 msg_crypt w/ parity = 0x10
i=          5, msg_pad=0x20, lfsr=00100000 msg_crypt w/ parity = 0x20
i=          6, msg_pad=0x20, lfsr=01000001 msg_crypt w/ parity = 0x41
i=          7, msg_pad=0x20, lfsr=00000011 msg_crypt w/ parity = 0x03
i=          8, msg_pad=0x20, lfsr=00000110 msg_crypt w/ parity = 0x06
i=          9, msg_pad=0x20, lfsr=00001100 msg_crypt w/ parity = 0x0c
i=         10, msg_pad=0x40, lfsr=00011000 msg_crypt w/ parity = 0x38
i=         11, msg_pad=0x40, lfsr=00110000 msg_crypt w/ parity = 0x10
i=         12, msg_pad=0x40, lfsr=01100001 msg_crypt w/ parity = 0x41
i=         13, msg_pad=0x40, lfsr=01000010 msg_crypt w/ parity = 0x62
i=         14, msg_pad=0x40, lfsr=00000101 msg_crypt w/ parity = 0x25
i=         15, msg_pad=0x40, lfsr=00001010 msg_crypt w/ parity = 0x2a
i=         16, msg_pad=0x40, lfsr=00010100 msg_crypt w/ parity = 0x34
i=         17, msg_pad=0x40, lfsr=00101000 msg_crypt w/ parity = 0x08
i=         18, msg_pad=0x40, lfsr=01010001 msg_crypt w/ parity = 0x71
i=         19, msg_pad=0x40, lfsr=00100011 msg_crypt w/ parity = 0x03
i=         20, msg_pad=0x40, lfsr=01000111 msg_crypt w/ parity = 0x67
i=         21, msg_pad=0x40, lfsr=00001111 msg_crypt w/ parity = 0x2f
i=         22, msg_pad=0x40, lfsr=00011110 msg_crypt w/ parity = 0x3e
i=         23, msg_pad=0x40, lfsr=00111100 msg_crypt w/ parity = 0x1c
i=         24, msg_pad=0x40, lfsr=01111001 msg_crypt w/ parity = 0x59
i=         25, msg_pad=0x40, lfsr=01110010 msg_crypt w/ parity = 0x52
i=         26, msg_pad=0x40, lfsr=01100100 msg_crypt w/ parity = 0x44
i=         27, msg_pad=0x40, lfsr=01001000 msg_crypt w/ parity = 0x68
i=         28, msg_pad=0x40, lfsr=00010001 msg_crypt w/ parity = 0x31
i=         29, msg_pad=0x40, lfsr=00100010 msg_crypt w/ parity = 0x02
i=         30, msg_pad=0x40, lfsr=01000101 msg_crypt w/ parity = 0x65
i=         31, msg_pad=0x40, lfsr=00001011 msg_crypt w/ parity = 0x2b
i=         32, msg_pad=0x40, lfsr=00010110 msg_crypt w/ parity = 0x36
i=         33, msg_pad=0x40, lfsr=00101100 msg_crypt w/ parity = 0x0c
i=         34, msg_pad=0x40, lfsr=01011001 msg_crypt w/ parity = 0x79
i=         35, msg_pad=0x40, lfsr=00110011 msg_crypt w/ parity = 0x13
i=         36, msg_pad=0x40, lfsr=01100111 msg_crypt w/ parity = 0x47
i=         37, msg_pad=0x40, lfsr=01001110 msg_crypt w/ parity = 0x6e
i=         38, msg_pad=0x40, lfsr=00011101 msg_crypt w/ parity = 0x3d
i=         39, msg_pad=0x40, lfsr=00111010 msg_crypt w/ parity = 0x1a
i=         40, msg_pad=0x40, lfsr=01110101 msg_crypt w/ parity = 0x55
i=         41, msg_pad=0x40, lfsr=01101010 msg_crypt w/ parity = 0x4a
i=         42, msg_pad=0x40, lfsr=01010100 msg_crypt w/ parity = 0x74
i=         43, msg_pad=0x40, lfsr=00101001 msg_crypt w/ parity = 0x09
i=         44, msg_pad=0x40, lfsr=01010011 msg_crypt w/ parity = 0x73
i=         45, msg_pad=0x20, lfsr=00100111 msg_crypt w/ parity = 0x27
i=         46, msg_pad=0x20, lfsr=01001111 msg_crypt w/ parity = 0x4f
i=         47, msg_pad=0x20, lfsr=00011111 msg_crypt w/ parity = 0x1f
i=         48, msg_pad=0x20, lfsr=00111110 msg_crypt w/ parity = 0x3e
i=         49, msg_pad=0x20, lfsr=01111101 msg_crypt w/ parity = 0x7d
i=         50, msg_pad=0x20, lfsr=01111010 msg_crypt w/ parity = 0x7a
i=         51, msg_pad=0x20, lfsr=01110100 msg_crypt w/ parity = 0x74
i=         52, msg_pad=0x20, lfsr=01101000 msg_crypt w/ parity = 0x68
i=         53, msg_pad=0x20, lfsr=01010000 msg_crypt w/ parity = 0x50
i=         54, msg_pad=0x20, lfsr=00100001 msg_crypt w/ parity = 0x21
i=         55, msg_pad=0x20, lfsr=01000011 msg_crypt w/ parity = 0x43
i=         56, msg_pad=0x20, lfsr=00000111 msg_crypt w/ parity = 0x07
i=         57, msg_pad=0x20, lfsr=00001110 msg_crypt w/ parity = 0x0e
i=         58, msg_pad=0x20, lfsr=00011100 msg_crypt w/ parity = 0x1c
i=         59, msg_pad=0x20, lfsr=00111000 msg_crypt w/ parity = 0x38
i=         60, msg_pad=0x20, lfsr=01110001 msg_crypt w/ parity = 0x71
i=         61, msg_pad=0x20, lfsr=01100010 msg_crypt w/ parity = 0x62
i=         62, msg_pad=0x20, lfsr=01000100 msg_crypt w/ parity = 0x44
i=         63, msg_pad=0x20, lfsr=00001001 msg_crypt w/ parity = 0x09
encrypted string =  
!"$(0@a#&,X0a‚EJT(‘#‡O^<yrdˆQ"…KV,™3gŽ]:uj”)“Go?^š”ˆpAc'.<X‘‚d)


program 1:
          0 bench msg: ! 01 dut msg: 40  OOPS!
          1 bench msg: " 02 dut msg: 41  OOPS!
          2 bench msg: $ 04 dut msg: 42  OOPS!
          3 bench msg: ( 08 dut msg: 43  OOPS!
          4 bench msg: 0 10 dut msg: 44  OOPS!
          5 bench msg: @ 20 dut msg: 45  OOPS!
          6 bench msg: a 41 dut msg: 46  OOPS!
          7 bench msg: # 03 dut msg: 47  OOPS!
          8 bench msg: & 06 dut msg: 48  OOPS!
          9 bench msg: , 0c dut msg: 49  OOPS!
         10 bench msg: X 38 dut msg: 4a  OOPS!
         11 bench msg: 0 10 dut msg: 4b  OOPS!
         12 bench msg: a 41 dut msg: 4c  OOPS!
         13 bench msg: ‚ 62 dut msg: 4d  OOPS!
         14 bench msg: E 25 dut msg: 4e  OOPS!
